# Program:featureCounts v2.0.0; Command:"/bioapp/subread-2.0.0-source/bin/featureCounts" "-a" "/Dydaktyka/sample_data/refs/ERCC92.gtf" "-g" "gene_name" "-o" "counts_ERCC92.txt" "/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/HBR_1.bam" "/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/HBR_2.bam" "/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/HBR_3.bam" "/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/UHR_1.bam" "/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/UHR_2.bam" "/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/UHR_3.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/HBR_1.bam	/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/HBR_2.bam	/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/HBR_3.bam	/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/UHR_1.bam	/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/UHR_2.bam	/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/UHR_3.bam
ERCC-00067	ERCC-00067	1	644	+	644	0	0	4	2	0	4
ERCC-00069	ERCC-00069	1	1137	+	1137	2	12	8	6	2	2
ERCC-00071	ERCC-00071	1	642	+	642	78	96	64	134	64	100
ERCC-00073	ERCC-00073	1	603	+	603	2	0	0	2	2	0
ERCC-00074	ERCC-00074	1	522	+	522	20982	24826	22956	31394	23242	26375
ERCC-00075	ERCC-00075	1	1023	+	1023	0	0	0	0	0	0
ERCC-00076	ERCC-00076	1	642	+	642	198	282	242	255	150	194
ERCC-00077	ERCC-00077	1	273	+	273	2	0	0	0	4	2
ERCC-00078	ERCC-00078	1	993	+	993	82	100	110	90	50	64
ERCC-00079	ERCC-00079	1	644	+	644	56	78	96	90	56	68
ERCC-00081	ERCC-00081	1	534	+	534	0	0	0	0	0	0
ERCC-00083	ERCC-00083	1	1022	+	1022	0	0	0	0	0	0
ERCC-00084	ERCC-00084	1	994	+	994	54	68	82	92	50	60
ERCC-00085	ERCC-00085	1	844	+	844	4	4	0	24	4	22
ERCC-00086	ERCC-00086	1	1020	+	1020	0	0	0	0	0	0
ERCC-00092	ERCC-00092	1	1124	+	1124	66	110	82	700	512	612
ERCC-00095	ERCC-00095	1	521	+	521	40	60	40	330	224	250
ERCC-00096	ERCC-00096	1	1107	+	1107	20708	25720	22638	44015	28870	36413
ERCC-00097	ERCC-00097	1	523	+	523	0	0	0	4	0	0
ERCC-00098	ERCC-00098	1	1143	+	1143	0	0	0	0	0	0
ERCC-00099	ERCC-00099	1	1350	+	1350	36	34	22	32	26	40
ERCC-00104	ERCC-00104	1	2022	+	2022	0	0	2	0	4	0
ERCC-00108	ERCC-00108	1	1022	+	1022	218	222	250	1846	1228	1668
ERCC-00109	ERCC-00109	1	536	+	536	0	0	0	0	4	0
ERCC-00111	ERCC-00111	1	994	+	994	1046	1254	996	1320	962	1110
ERCC-00112	ERCC-00112	1	1136	+	1136	360	488	444	428	316	326
ERCC-00113	ERCC-00113	1	840	+	840	7096	8594	7780	9868	6686	8544
ERCC-00116	ERCC-00116	1	1991	+	1991	300	288	286	2050	1418	2014
ERCC-00117	ERCC-00117	1	1136	+	1136	0	0	0	0	0	0
ERCC-00120	ERCC-00120	1	536	+	536	2	0	0	0	0	0
ERCC-00123	ERCC-00123	1	1022	+	1022	0	0	0	0	0	0
ERCC-00126	ERCC-00126	1	1118	+	1118	6	6	10	26	4	22
ERCC-00130	ERCC-00130	1	1059	+	1059	8088	10682	8766	69800	44902	57166
ERCC-00131	ERCC-00131	1	771	+	771	38	72	40	306	182	268
ERCC-00134	ERCC-00134	1	274	+	274	0	0	2	0	0	0
ERCC-00136	ERCC-00136	1	1033	+	1033	518	604	486	4448	3060	3600
ERCC-00137	ERCC-00137	1	537	+	537	0	0	0	2	4	0
ERCC-00138	ERCC-00138	1	1024	+	1024	2	0	0	0	2	0
ERCC-00142	ERCC-00142	1	493	+	493	0	0	0	0	2	0
ERCC-00143	ERCC-00143	1	784	+	784	0	6	2	8	10	6
ERCC-00144	ERCC-00144	1	538	+	538	2	2	8	20	10	8
ERCC-00145	ERCC-00145	1	1042	+	1042	974	1380	1118	1548	982	1216
ERCC-00147	ERCC-00147	1	1023	+	1023	0	0	0	0	0	0
ERCC-00148	ERCC-00148	1	494	+	494	2	0	10	6	2	10
ERCC-00150	ERCC-00150	1	743	+	743	0	6	2	4	8	0
ERCC-00154	ERCC-00154	1	537	+	537	2	0	2	2	14	8
ERCC-00156	ERCC-00156	1	494	+	494	0	0	0	0	0	0
ERCC-00157	ERCC-00157	1	1019	+	1019	22	18	30	26	24	24
ERCC-00158	ERCC-00158	1	1027	+	1027	0	0	4	2	2	4
ERCC-00160	ERCC-00160	1	743	+	743	16	42	28	26	18	20
ERCC-00162	ERCC-00162	1	523	+	523	56	44	54	100	74	66
ERCC-00163	ERCC-00163	1	543	+	543	10	14	26	12	8	18
ERCC-00164	ERCC-00164	1	1022	+	1022	0	2	0	0	0	0
ERCC-00165	ERCC-00165	1	872	+	872	66	128	82	102	56	74
ERCC-00168	ERCC-00168	1	1024	+	1024	4	2	2	0	2	0
ERCC-00170	ERCC-00170	1	1023	+	1023	2	4	6	36	28	30
ERCC-00171	ERCC-00171	1	505	+	505	1836	2510	2116	3814	2674	3318
